Id,Codigo,Nome,Uf,idm
1,22,asd,mt,NULL
1,1100015,Alta Floresta D'Oeste,RO,22
2,1100023,Ariquemes,RO,22
3,1100031,Cabixi,RO,22
4,1100049,Cacoal,RO,22
5,1100056,Cerejeiras,RO,22
6,1100064,Colorado do Oeste,RO,22
7,1100072,Corumbiara,RO,22
8,1100080,Costa Marques,RO,22
9,1100098,Espigão D'Oeste,RO,22
10,1100106,Guajará-Mirim,RO,22
11,1100114,Jaru,RO,22
12,1100122,Ji-Paraná,RO,22
13,1100130,Machadinho D'Oeste,RO,22
14,1100148,Nova Brasilândia D'Oeste,RO,22
15,1100155,Ouro Preto do Oeste,RO,22
16,1100189,Pimenta Bueno,RO,22
17,1100205,Porto Velho,RO,22
18,1100254,Presidente Médici,RO,22
19,1100262,Rio Crespo,RO,22
20,1100288,Rolim de Moura,RO,22
21,1100296,Santa Luzia D'Oeste,RO,22
22,1100304,Vilhena,RO,22
23,1100320,São Miguel do Guaporé,RO,22
24,1100338,Nova Mamoré,RO,22
25,1100346,Alvorada D'Oeste,RO,22
26,1100379,Alto Alegre dos Parecis,RO,22
27,1100403,Alto Paraíso,RO,22
28,1100452,Buritis,RO,22
29,1100502,Novo Horizonte do Oeste,RO,22
30,1100601,Cacaulândia,RO,22
31,1100700,Campo Novo de Rondônia,RO,22
32,1100809,Candeias do Jamari,RO,22
33,1100908,Castanheiras,RO,22
34,1100924,Chupinguaia,RO,22
35,1100940,Cujubim,RO,22
36,1101005,Governador Jorge Teixeira,RO,22
37,1101104,Itapuã do Oeste,RO,22
38,1101203,Ministro Andreazza,RO,22
39,1101302,Mirante da Serra,RO,22
40,1101401,Monte Negro,RO,22
41,1101435,Nova União,RO,22
42,1101450,Parecis,RO,22
43,1101468,Pimenteiras do Oeste,RO,22
44,1101476,Primavera de Rondônia,RO,22
45,1101484,São Felipe D'Oeste,RO,22
46,1101492,São Francisco do Guaporé,RO,22
47,1101500,Seringueiras,RO,22
48,1101559,Teixeirópolis,RO,22
49,1101609,Theobroma,RO,22
50,1101708,Urupá,RO,22
51,1101757,Vale do Anari,RO,22
52,1101807,Vale do Paraíso,RO,22
53,1200013,Acrelândia,AC,1
54,1200054,Assis Brasil,AC,1
55,1200104,Brasiléia,AC,1
56,1200138,Bujari,AC,1
57,1200179,Capixaba,AC,1
58,1200203,Cruzeiro do Sul,AC,1
59,1200252,Epitaciolândia,AC,1
60,1200302,Feijó,AC,1
61,1200328,Jordão,AC,1
62,1200336,Mâncio Lima,AC,1
63,1200344,Manoel Urbano,AC,1
64,1200351,Marechal Thaumaturgo,AC,1
65,1200385,Plácido de Castro,AC,1
66,1200393,Porto Walter,AC,1
67,1200401,Rio Branco,AC,1
68,1200427,Rodrigues Alves,AC,1
69,1200435,Santa Rosa do Purus,AC,1
70,1200450,Senador Guiomard,AC,1
71,1200500,Sena Madureira,AC,1
72,1200609,Tarauacá,AC,1
73,1200708,Xapuri,AC,1
74,1200807,Porto Acre,AC,1
75,1300029,Alvarães,AM,4
76,1300060,Amaturá,AM,4
77,1300086,Anamã,AM,4
78,1300102,Anori,AM,4
79,1300144,Apuí,AM,4
80,1300201,Atalaia do Norte,AM,4
81,1300300,Autazes,AM,4
82,1300409,Barcelos,AM,4
83,1300508,Barreirinha,AM,4
84,1300607,Benjamin Constant,AM,4
85,1300631,Beruri,AM,4
86,1300680,Boa Vista do Ramos,AM,4
87,1300706,Boca do Acre,AM,4
88,1300805,Borba,AM,4
89,1300839,Caapiranga,AM,4
90,1300904,Canutama,AM,4
91,1301001,Carauari,AM,4
92,1301100,Careiro,AM,4
93,1301159,Careiro da Várzea,AM,4
94,1301209,Coari,AM,4
95,1301308,Codajás,AM,4
96,1301407,Eirunepé,AM,4
97,1301506,Envira,AM,4
98,1301605,Fonte Boa,AM,4
99,1301654,Guajará,AM,4
100,1301704,Humaitá,AM,4
101,1301803,Ipixuna,AM,4
102,1301852,Iranduba,AM,4
103,1301902,Itacoatiara,AM,4
104,1301951,Itamarati,AM,4
105,1302009,Itapiranga,AM,4
106,1302108,Japurá,AM,4
107,1302207,Juruá,AM,4
108,1302306,Jutaí,AM,4
109,1302405,Lábrea,AM,4
110,1302504,Manacapuru,AM,4
111,1302553,Manaquiri,AM,4
112,1302603,Manaus,AM,4
113,1302702,Manicoré,AM,4
114,1302801,Maraã,AM,4
115,1302900,Maués,AM,4
116,1303007,Nhamundá,AM,4
117,1303106,Nova Olinda do Norte,AM,4
118,1303205,Novo Airão,AM,4
119,1303304,Novo Aripuanã,AM,4
120,1303403,Parintins,AM,4
121,1303502,Pauini,AM,4
122,1303536,Presidente Figueiredo,AM,4
123,1303569,Rio Preto da Eva,AM,4
124,1303601,Santa Isabel do Rio Negro,AM,4
125,1303700,Santo Antônio do Içá,AM,4
126,1303809,São Gabriel da Cachoeira,AM,4
127,1303908,São Paulo de Olivença,AM,4
128,1303957,São Sebastião do Uatumã,AM,4
129,1304005,Silves,AM,4
130,1304062,Tabatinga,AM,4
131,1304104,Tapauá,AM,4
132,1304203,Tefé,AM,4
133,1304237,Tonantins,AM,4
134,1304260,Uarini,AM,4
135,1304302,Urucará,AM,4
136,1304401,Urucurituba,AM,4
137,1400027,Amajari,RR,23
138,1400050,Alto Alegre,RR,23
139,1400100,Boa Vista,RR,23
140,1400159,Bonfim,RR,23
141,1400175,Cantá,RR,23
142,1400209,Caracaraí,RR,23
143,1400233,Caroebe,RR,23
144,1400282,Iracema,RR,23
145,1400308,Mucajaí,RR,23
146,1400407,Normandia,RR,23
147,1400456,Pacaraima,RR,23
148,1400472,Rorainópolis,RR,23
149,1400506,São João da Baliza,RR,23
150,1400605,São Luiz,RR,23
151,1400704,Uiramutã,RR,23
152,1500107,Abaetetuba,PA,14
153,1500131,Abel Figueiredo,PA,14
154,1500206,Acará,PA,14
155,1500305,Afuá,PA,14
156,1500347,Água Azul do Norte,PA,14
157,1500404,Alenquer,PA,14
158,1500503,Almeirim,PA,14
159,1500602,Altamira,PA,14
160,1500701,Anajás,PA,14
161,1500800,Ananindeua,PA,14
162,1500859,Anapu,PA,14
163,1500909,Augusto Corrêa,PA,14
